"device_IDs","hogares"
"b2tuc2xxbzRwcDViOjhuc2RlM3BqZnZxdmU=","130510577_Z"
"b2U1ZmRvcDZsdXA4OjhtaDcyYXBxMmc1Ymc=","1304800010355"
"b2x1YWtodmVtc3E5OmZhYWlhdHM5Y2NrYw==","13022001A"
"b2xmdjF1MzY0ZnJnOjZ0dmQ5OGg5djRmNW4=","130690001004A"
"b2xoaWI0aWk5YXVhOjIxbDI2b2JiZG9kZ2g=","130480001285A"
"b2YxNHZyNWpiMDF1Ojh2ODVkbWdqZHBwazI=","1304800010980"
"b2Zhamc4cGJ1OWVxOjVhcDA4aHRwN21oOTc=","130820022_S"
"b3A2cDZ1dTlsZ20yOjY0NzY2NjlwM3YxMGY=","1305100030223"
"b3BzMHRhZGhzamVzOmY5cG85MWpkY2Fncw==","1304800010980"
"b3FtcWwwYjdyYnMyOjU3M3RqZzdkajMwbWU=","1304800010779"
"b3I5ajFnaDVmbnAyOjlmcGIyNjhkZmlpajY=",NA
"b3I5dDdxMzVocDZkOjZvaWcycmJhZmdzZ2o=",NA
"b3JpZXM1NzFvbGNtOjM2NGNyNzE3c203bW8=","1308200010291"
"b3M5dGg1YWc5OGthOjZxZDJhaXA0OGsyNm4=","130510078165A"
"b3M5Y2Zodmhwc2QyOmY2YXNpZGcwYjI3N2g=","1304800011090"
"b3Y0djRmOXJsdXUyOjh1ZmZuZzNhbTBuMDU=","1304800011048"
"b3ZubGx2b3BsdWVlOjk1bjZpa2t1MmVzb3Q=","130690016_I"
"bDBlMnRka2VuNHZlOmRxY2ticnU0OWdtcGk=","1305100631255"
"bDBmaTBxM3VpaGJqOjVnaGtnMTAzOXBzNjA=","1308301330481"
"bDE4a3V1Z3JrMjIzOjYzaDV1Njhuam5wa2c=","1304800010213"
"bDhqZnBkdXZ0OWZyOmVqNmtncWNucGRoOXM=","1306900420637"
"bDhyZnJuYzRrcmlyOjN0cTRlbHNjdmQ0ZDk=","1308300010195"
"bDhzZnJxZWZtNDlxOmRkdGJzYmxxcG01M3Q=",NA
"bDhzZzhnMWhxNjJqOmVqOHNrdm45Yzdxa2o=","130520023"
"bDI0ajVqNm5pZmh1OjVwaDNpbWR0dnY0Yzc=","130480001011A"
"bDIxMm8zbHZqcWtvOjloNXNwN2ZwcW9lNzI=","1304800012347"
"bDJrc2FiZHNwMm03OmQzMDBidG1tbDVhOGE=","1305101482183"
"bDlkbXNoMmYwbThtOjk4bDJldXJmb2E2cjE=",NA
"bDlwdWxlaHY3djQ0OjhmaXA0ZmhncHBuNjc=","130480001196A"
"bDlyZjFvOWk1b3NvOjlwOHNqMTFkcnZsZjI=","1304800010124"
"bDlzYTB1YTMybWhvOjlqNWZucmQwYzBpYnM=","130510099172A"
"bDM4NnJlZjVrYTU5OmJyZWNidjF2ZTBqbm0=",NA
"bDMxOXZuZWtnazg5OmI2OG5hNWF2dTluMmQ=",NA
"bDN0am5oM3Ewa2RpOjZocG8ydmlnaTFvbnI=",NA
"bDRsNjFoMWhzbGg3OjhrdWZqazg2YTd1M2U=","1304800012154"
"bDVjaGxrdmtnMmpkOjVtcTNucnA3dnFrdHI=","1303900010106"
"bDY5ODZjNHZ0NmUyOjlsbmZ0YjFjOWdlZ2Y=","1304800010868"
"bDYxbzBhamJ2NHY3OjNnOTh2bm1mNGs3cGU=",NA
"bDZlZm9rNWZuN3B0Ojk4a2s5djIwYjByNDc=","1304800012347"
"bDZsdWE3MDEzY3ZjOjJjZ3NvYnJpcHFvaHI=","130510577_Z"
"bG0zNnFkZjdsajdnOmJvY200NjM3MHBjcGw=","130480020_V"
"bG1sdjBtaG5rcDd2OjhkZjZjbmJmamZyYTg=","130480001004A"
"bG1wcGUxNmVobjVrOjJqZjg0YjE5bW5nMw==","1304800011993"
"bG51aDExNTFvNnRmOjhnMmphaWprYTN2bnQ=","1305100010191"
"bG5vZGJpNXU4N3FlOm1zNm1qZmNvZWRjdA==","1304800012934"
"bG5xbnZvN2lqZWQ2OjIxdTkzamRzYnBybmw=","1304800012347"
"bG9saHIzdTEyam1kOjlmdGxva21hOW5ib2c=","1304800010961"
"bG9tdWE2cDA0M25jOjM2dmRqOXZ0OW1kcHA=","1306900420656"
"bGd1Z2l0ZGQ3ZTBrOjdmcHVqYTJsbWRlcXA=","1304800010586"
"bGdiOWQ1OWU1bzU2OmFzajhnYTE3N2xtZmo=","130520038"
"bGE1dmQ2ZTJlOGJjOmZjMDN2aGxzc3Q3ZGU=","1304800011550"
"bGEzZmxvZXJoYTNtOjdmaDA1OXAybWtydHY=","1306900440730"
"bGFuYm5ncGdxMTUwOjZsMGZ0NGh0cTcwZjk=","1306900051071"
"bGhvMW9namw2Nm4yOmFuMXRrY2FjdmQyOWE=","1304800012417"
"bGhxOXZ1N2s0N2EzOjFtdDUxaTYyZjYwNDg=","1305101482145"
"bGJ0YXU3OTcyMzhvOmRmZTBicDZqaDNtYnY=","1304800011550"
"bGkwZHBwODFuMDEwOmM1dXJtMTczZDI5MzY=","130480001196A"
"bGphcHE0amljbG5zOjV2cTNlZWs2dDhqMjM=","1304800010143"
"bGpyZzZnbzM1N25wOjkwNWFrNmZ2YmIwaTI=","1304800011156"
"bGQzaDQ1Zjlxb3JsOmF0czFpNXFvaWpsNXM=","1308301330369"
"bGRmMm1qNWltcG52OmRsb281NzRkbThpZQ==","1304800012417"
"bGtqZTVrcTV1ZGk1OjVzbmkybGdlZWk0YzU=","1305100291202"
"bGtzZnBkaGl2NjJsOjRyN3RkN3VmZTN0ZDM=","1304800013078"
"bGVmcHVpaXN1bG83OjdxdjB0YjBtNzA0cWU=",NA
"bGxvYjR1Z2k2amI1OjZvZXRzaGNtZGt1bGk=","1304800012173"
"bGZ1Y2pzdGlldm04OjVsZm1kcWZxZ3I4bQ==","1304800010976"
"bGZkb2JobGtwNWZsOmIydTNkOW9kZXZsOW0=","1306900020514"
"bHAxZXRqdW0yZ2ZvOmFzYjh1ajU3aGFwcHY=","1304800012417"
"bHBzazlsamtkbGFlOmYxc25ybzEyY3Qzc3Q=","1304800012008"
"bHBzcXYxaDJiNjV0OjVrY3FjbjI5ZDU5ZzA=","1304800010919"
"bHE1djJuN2c4a2M5OnRkcnRka21xa3ZtYw==","1304800010406"
"bHFjbzA0M2tldmswOmJqa283MmVuNms2bmE=","130510107140A"
"bHI5anFzdGo5ZzljOjc1aXBlMWttc29zcmk=","1304800010745"
"bHIyb2NjN3BsY2RqOmhhcHA2ZTI0N2I3bw==","1308301020509"
"bHJhZ2MyMzU2MTQ5OjZjazNyZDFvdGtydWs=","130690016_I"
"bHJibDhmMWlxNzFyOmFpNm10a3BsZXE2NDI=","1305100961700"
